материн мать
мамин мама
матушкин матушка
маменькин маменька
мамочкин мамочка
мамашин мамаша
мамкин мамка
отцов отец
папин папа
батюшкин батюшка
папенькин папенька
папочкин папочка
папашин папаша
папкин папка
батькин батька
сестрин сестра
сестрёнкин сестрёнка
сестричкин сестричка
сестрицын сестрица
братов брат
братишкин братишка
братцев братец
дочкин дочка
доченькин доченька
дочуркин дочурка
сынов сын
сынишкин сынишка
сынулин сынуля
бабушкин бабушка
бабкин бабка
бабусин бабуся
дедушкин дедушка
дедов дед
дедусин дедуся
внуков внук
внучкин внучка
внученькин внученька
тётин тётя
тёткин тётка
тётушкин тётушка
дядин дядя
дядькин дядька
дядюшкин дядушка
племянницын племянница
прабабушкин прабабушка
прабабкин прабабка
прадедушкин прадедушка
прадедов прадед
правнучкин правнучка
правнуков правнук
муж мужнин
муженькин муженёк
женин жена
жёнушкин жёнушка
свекровин свекровь
свёкров свёкор
деверев деверь
золовкин золовка
невесткин невестка
тёщин тёща
тестев тесть
свояченицын свояченица
снохин сноха
зятев зять
пасынков пасынок
падчерицын падчерица
сватов сват
сватьин сватья
свахин сваха
адамов адам
адов ад
анастасиин анастасия
антонов антон
анютин анюта
ариаднин ариадна
ахиллесов ахиллес
барынин барыня
буйволов буйвол
валаамов валаам
валькин валька
ванин ваня
верин вера
воронов ворон
геркулесов геркулес
государев государь
гулькин гулька
дамоклов дамокл
девицын девица
девкин девка
декартов декарт
демосфенов демосфен
демьянов демьян
димин дима
димкин димка
драконов дракон
духов дух
дьяволов дьявол
женихов жених
иванов иван
ильин илья
иринкин иринка
иришкин иришка
иродов ирод
иудин иуда
каинов каин
калинкин калинка
карлушин карлуша
катин катя
клавкин клавка
колин коля
колькин колька
кощеев кощей
крокодилов крокодил
кузькин кузька
кукушкин кукушка
кумов кум
курицын курица
кутькин кутька
кухаркин кухарка
ларисин лариса
ласточкин ласточка
лёвин лёва
лёнин лёня
ленин лена
лизин лиза
любочкин любочка
люськин люська
маков мак
мамаев мамай
маринкин маринка
мартышкин мартышка
маршаллов маршал
матрёнин матрёна
мафусаилов мафусаил
мачехин мачеха
машин маша
митин митя
мишин миша
мишкин мишка
морковкин морковка
надин надя
наташин наташа
наташкин наташка
невестин невеста
нинкин нинка
ноев ной
нянечкин нянечка
нянин няня
нянькин нянька
нянюшкин нянюшка
олегов олег
олин оля
петров пётр
пирров пирр
пифагоров пифагор
попов попов
прокрустов прокруст
светкин светка
светланин светлана
святославов святослав
сергиев сергий
сизифов сизиф
симонов симон
славкин славка
соломонов соломон
стариков старик
старухин старуха
сукин сука
танин таня
танталов тантал
танькин танька
толин толя
толькин толька
тришкин тришка
тятькин тятька
фараонов фараон
федин федя
федькин федька
филькин филька
фомин фома
хамов хам
хозяйкин хозяйка
христов христос
царёв царь
чёртов чёрт
шутов шут
юлин юля
юлькин юлька
юрин юра
юркин юрка
анин аня
ведьмин ведьма
сашкин сашка
гришин гриша
васин вася
петин петя
марьин марья
рюриков рюрик
асин ася
ольгин ольга
